time,posx,posy,posz,vx,vy,vz,ax,ay,az
8.65,-301.4696612,-2169.164082,0.032362774,39.95694733,-0.266916513,0.305449069,10.72030258,7.010577202,1.279119134
8.7,-301.3472627,-2171.165387,0.043732717,40.16854477,-0.220020548,0.303161949,4.294939518,10.69821167,0.524161458
8.75,-301.1900987,-2173.169601,0.057431825,40.23216629,-0.046219859,0.335072994,1.287084818,9.245412827,1.191001534
8.8,-301.0123359,-2175.174974,0.072555418,40.28607178,0.04216348,0.319311142,1.068779111,7.848020554,0.676390529
8.85,-300.817537,-2177.181392,0.089784979,40.3386879,0.072084263,0.317312032,1.036074638,7.83921814,0.656039
8.9,-300.604726,-2179.188602,0.108816892,40.39074326,0.073857769,0.32734862,1.019152999,8.36283493,1.013684034
8.95,-300.3715239,-2181.196164,0.130182823,40.44392776,0.057340633,0.324549735,1.043892622,8.305427551,0.72021836
9,-300.1172157,-2183.20382,0.152787427,40.49580002,0.043487079,0.314694971,1.021961689,8.213929176,0.584239423
9.05,-299.8413791,-2185.21122,0.177524885,40.54893112,0.043675311,0.329983085,1.048885226,8.070910454,0.989201784
9.1,-299.5450864,-2187.218393,0.20384834,40.60238647,0.036884606,0.319841206,1.055550933,7.643480301,0.598464966
9.15,-299.2289431,-2189.22518,0.231620157,40.655159,0.037709456,0.318373919,1.044353724,7.405387402,0.625221133
9.2,-298.8938228,-2191.231546,0.260974595,40.70823669,0.040483028,0.326802045,1.049252629,7.251471519,0.868348122
9.25,-298.5403237,-2193.237441,0.291911315,40.76209259,0.03818462,0.321006894,1.065173268,6.973053455,0.579087555
9.3,-298.1689791,-2195.242793,0.323915916,40.81473923,0.038886122,0.318439871,1.041867733,6.892278671,0.599321485
9.35,-297.7800104,-2197.247466,0.357457837,40.86803055,0.040701825,0.327465326,1.05439806,6.816657543,0.813650012
9.4,-297.3738575,-2199.251446,0.392163925,40.92168427,0.037666403,0.319468647,1.061598539,6.661562443,0.517257988
9.45,-296.950607,-2201.254566,0.427896444,40.97449493,0.03944885,0.320468009,1.045829773,6.660679817,0.608957291
9.5,-296.5104484,-2203.256737,0.464829218,41.02764893,0.040108867,0.326271981,1.051918983,6.625947952,0.736759365
9.55,-296.0535388,-2205.257874,0.502769005,41.08133698,0.038052171,0.320430219,1.062879086,6.529783726,0.505981386
9.6,-295.579945,-2207.257836,0.541490647,41.1341362,0.039939664,0.321224838,1.045719147,6.57001543,0.589566112
9.65,-295.089691,-2209.256493,0.58122806,41.18741226,0.040676553,0.326458722,1.054729819,6.551383495,0.690681219
9.7,-294.5829169,-2211.253774,0.621691438,41.24103928,0.038860209,0.320517957,1.06180346,6.491328716,0.479375988
